File to parse: ../Downloads/characters.901225-01.bin
0000 00000 060 3c ..****..
0001 00001 102 66 .**..**.
0002 00002 110 6e .**.***.
0003 00003 110 6e .**.***.
0004 00004 096 60 .**.....
0005 00005 098 62 .**...*.
0006 00006 060 3c ..****..
0007 00007 000 00 ........

0008 00008 024 18 ...**...
0009 00009 060 3c ..****..
000a 00010 102 66 .**..**.
000b 00011 126 7e .******.
000c 00012 102 66 .**..**.
000d 00013 102 66 .**..**.
000e 00014 102 66 .**..**.
000f 00015 000 00 ........

0010 00016 124 7c .*****..
0011 00017 102 66 .**..**.
0012 00018 102 66 .**..**.
0013 00019 124 7c .*****..
0014 00020 102 66 .**..**.
0015 00021 102 66 .**..**.
0016 00022 124 7c .*****..
0017 00023 000 00 ........

0018 00024 060 3c ..****..
0019 00025 102 66 .**..**.
001a 00026 096 60 .**.....
001b 00027 096 60 .**.....
001c 00028 096 60 .**.....
001d 00029 102 66 .**..**.
001e 00030 060 3c ..****..
001f 00031 000 00 ........

0020 00032 120 78 .****...
0021 00033 108 6c .**.**..
0022 00034 102 66 .**..**.
0023 00035 102 66 .**..**.
0024 00036 102 66 .**..**.
0025 00037 108 6c .**.**..
0026 00038 120 78 .****...
0027 00039 000 00 ........

0028 00040 126 7e .******.
0029 00041 096 60 .**.....
002a 00042 096 60 .**.....
002b 00043 120 78 .****...
002c 00044 096 60 .**.....
002d 00045 096 60 .**.....
002e 00046 126 7e .******.
002f 00047 000 00 ........

0030 00048 126 7e .******.
0031 00049 096 60 .**.....
0032 00050 096 60 .**.....
0033 00051 120 78 .****...
0034 00052 096 60 .**.....
0035 00053 096 60 .**.....
0036 00054 096 60 .**.....
0037 00055 000 00 ........

0038 00056 060 3c ..****..
0039 00057 102 66 .**..**.
003a 00058 096 60 .**.....
003b 00059 110 6e .**.***.
003c 00060 102 66 .**..**.
003d 00061 102 66 .**..**.
003e 00062 060 3c ..****..
003f 00063 000 00 ........

0040 00064 102 66 .**..**.
0041 00065 102 66 .**..**.
0042 00066 102 66 .**..**.
0043 00067 126 7e .******.
0044 00068 102 66 .**..**.
0045 00069 102 66 .**..**.
0046 00070 102 66 .**..**.
0047 00071 000 00 ........

0048 00072 060 3c ..****..
0049 00073 024 18 ...**...
004a 00074 024 18 ...**...
004b 00075 024 18 ...**...
004c 00076 024 18 ...**...
004d 00077 024 18 ...**...
004e 00078 060 3c ..****..
004f 00079 000 00 ........

0050 00080 030 1e ...****.
0051 00081 012 0c ....**..
0052 00082 012 0c ....**..
0053 00083 012 0c ....**..
0054 00084 012 0c ....**..
0055 00085 108 6c .**.**..
0056 00086 056 38 ..***...
0057 00087 000 00 ........

0058 00088 102 66 .**..**.
0059 00089 108 6c .**.**..
005a 00090 120 78 .****...
005b 00091 112 70 .***....
005c 00092 120 78 .****...
005d 00093 108 6c .**.**..
005e 00094 102 66 .**..**.
005f 00095 000 00 ........

0060 00096 096 60 .**.....
0061 00097 096 60 .**.....
0062 00098 096 60 .**.....
0063 00099 096 60 .**.....
0064 00100 096 60 .**.....
0065 00101 096 60 .**.....
0066 00102 126 7e .******.
0067 00103 000 00 ........

0068 00104 099 63 .**...**
0069 00105 119 77 .***.***
006a 00106 127 7f .*******
006b 00107 107 6b .**.*.**
006c 00108 099 63 .**...**
006d 00109 099 63 .**...**
006e 00110 099 63 .**...**
006f 00111 000 00 ........

0070 00112 102 66 .**..**.
0071 00113 118 76 .***.**.
0072 00114 126 7e .******.
0073 00115 126 7e .******.
0074 00116 110 6e .**.***.
0075 00117 102 66 .**..**.
0076 00118 102 66 .**..**.
0077 00119 000 00 ........

0078 00120 060 3c ..****..
0079 00121 102 66 .**..**.
007a 00122 102 66 .**..**.
007b 00123 102 66 .**..**.
007c 00124 102 66 .**..**.
007d 00125 102 66 .**..**.
007e 00126 060 3c ..****..
007f 00127 000 00 ........

0080 00128 124 7c .*****..
0081 00129 102 66 .**..**.
0082 00130 102 66 .**..**.
0083 00131 124 7c .*****..
0084 00132 096 60 .**.....
0085 00133 096 60 .**.....
0086 00134 096 60 .**.....
0087 00135 000 00 ........

0088 00136 060 3c ..****..
0089 00137 102 66 .**..**.
008a 00138 102 66 .**..**.
008b 00139 102 66 .**..**.
008c 00140 102 66 .**..**.
008d 00141 060 3c ..****..
008e 00142 014 0e ....***.
008f 00143 000 00 ........

0090 00144 124 7c .*****..
0091 00145 102 66 .**..**.
0092 00146 102 66 .**..**.
0093 00147 124 7c .*****..
0094 00148 120 78 .****...
0095 00149 108 6c .**.**..
0096 00150 102 66 .**..**.
0097 00151 000 00 ........

0098 00152 060 3c ..****..
0099 00153 102 66 .**..**.
009a 00154 096 60 .**.....
009b 00155 060 3c ..****..
009c 00156 006 06 .....**.
009d 00157 102 66 .**..**.
009e 00158 060 3c ..****..
009f 00159 000 00 ........

00a0 00160 126 7e .******.
00a1 00161 024 18 ...**...
00a2 00162 024 18 ...**...
00a3 00163 024 18 ...**...
00a4 00164 024 18 ...**...
00a5 00165 024 18 ...**...
00a6 00166 024 18 ...**...
00a7 00167 000 00 ........

00a8 00168 102 66 .**..**.
00a9 00169 102 66 .**..**.
00aa 00170 102 66 .**..**.
00ab 00171 102 66 .**..**.
00ac 00172 102 66 .**..**.
00ad 00173 102 66 .**..**.
00ae 00174 060 3c ..****..
00af 00175 000 00 ........

00b0 00176 102 66 .**..**.
00b1 00177 102 66 .**..**.
00b2 00178 102 66 .**..**.
00b3 00179 102 66 .**..**.
00b4 00180 102 66 .**..**.
00b5 00181 060 3c ..****..
00b6 00182 024 18 ...**...
00b7 00183 000 00 ........

00b8 00184 099 63 .**...**
00b9 00185 099 63 .**...**
00ba 00186 099 63 .**...**
00bb 00187 107 6b .**.*.**
00bc 00188 127 7f .*******
00bd 00189 119 77 .***.***
00be 00190 099 63 .**...**
00bf 00191 000 00 ........

00c0 00192 102 66 .**..**.
00c1 00193 102 66 .**..**.
00c2 00194 060 3c ..****..
00c3 00195 024 18 ...**...
00c4 00196 060 3c ..****..
00c5 00197 102 66 .**..**.
00c6 00198 102 66 .**..**.
00c7 00199 000 00 ........

00c8 00200 102 66 .**..**.
00c9 00201 102 66 .**..**.
00ca 00202 102 66 .**..**.
00cb 00203 060 3c ..****..
00cc 00204 024 18 ...**...
00cd 00205 024 18 ...**...
00ce 00206 024 18 ...**...
00cf 00207 000 00 ........

00d0 00208 126 7e .******.
00d1 00209 006 06 .....**.
00d2 00210 012 0c ....**..
00d3 00211 024 18 ...**...
00d4 00212 048 30 ..**....
00d5 00213 096 60 .**.....
00d6 00214 126 7e .******.
00d7 00215 000 00 ........

00d8 00216 060 3c ..****..
00d9 00217 048 30 ..**....
00da 00218 048 30 ..**....
00db 00219 048 30 ..**....
00dc 00220 048 30 ..**....
00dd 00221 048 30 ..**....
00de 00222 060 3c ..****..
00df 00223 000 00 ........

00e0 00224 012 0c ....**..
00e1 00225 018 12 ...*..*.
00e2 00226 048 30 ..**....
00e3 00227 124 7c .*****..
00e4 00228 048 30 ..**....
00e5 00229 098 62 .**...*.
00e6 00230 252 fc ******..
00e7 00231 000 00 ........

00e8 00232 060 3c ..****..
00e9 00233 012 0c ....**..
00ea 00234 012 0c ....**..
00eb 00235 012 0c ....**..
00ec 00236 012 0c ....**..
00ed 00237 012 0c ....**..
00ee 00238 060 3c ..****..
00ef 00239 000 00 ........

00f0 00240 000 00 ........
00f1 00241 024 18 ...**...
00f2 00242 060 3c ..****..
00f3 00243 126 7e .******.
00f4 00244 024 18 ...**...
00f5 00245 024 18 ...**...
00f6 00246 024 18 ...**...
00f7 00247 024 18 ...**...

00f8 00248 000 00 ........
00f9 00249 016 10 ...*....
00fa 00250 048 30 ..**....
00fb 00251 127 7f .*******
00fc 00252 127 7f .*******
00fd 00253 048 30 ..**....
